setup,method,intercept,max_abs_err,mean_abs_err,train_r2,test_r2,test_rmse
"ORACLE BASELINE  (true sine subtracted, no intercept)",Linear regression baseline (NNLS),,0.000786317383060009,0.0004769392318479504,0.9999999781970406,0.9999999893415719,0.6975987222958329
"ORACLE BASELINE  (true sine subtracted, no intercept)",Direct least squares (OLS),,0.0007863173831310633,0.00047693923191758356,0.9999999781970406,0.9999999893415719,0.6975987222956375
"ORACLE BASELINE  (true sine subtracted, no intercept)",Coordinate descent (20 passes),,0.0007863173750877195,0.00047693922971063784,0.9999999781970406,0.9999999893415719,0.6975987222931118
"ORACLE BASELINE  (true sine subtracted, no intercept)",Ridge (alpha=0.01),,0.0007864439678115787,0.0004768971073318085,0.9999999781970406,0.9999999893415736,0.6975986628710958
"ORACLE BASELINE  (true sine subtracted, no intercept)",Ridge (alpha=0.1),,0.0007875832300214824,0.0004765179863611024,0.9999999781970405,0.99999998934159,0.6975981282934907
"ORACLE BASELINE  (true sine subtracted, no intercept)",Ridge (alpha=1),,0.0007989758515805079,0.00047272677784775395,0.9999999781970349,0.9999999893417526,0.6975928067421534
"ORACLE BASELINE  (true sine subtracted, no intercept)",Ridge (alpha=10),,0.0009129019903326707,0.0004348148042510047,0.999999978196481,0.9999999893433046,0.6975420137796927
"ORACLE BASELINE  (true sine subtracted, no intercept)",Ridge (alpha=100),,0.002052155687266577,0.0010748661132424786,0.9999999781410858,0.9999999893514163,0.6972764842370415
"ORACLE BASELINE  (true sine subtracted, no intercept)",Ridge (alpha=1000),,0.019882067450723184,0.00999139651630827,0.9999999726032179,0.9999999886919453,0.7185434690387106
"CONSTANT BASELINE  (raw signal, single intercept)",Linear regression baseline (NNLS),5.303670744937911,0.026242915571444314,0.010432032879555209,0.9999999548086631,0.9999999463037287,1.5657656848353825
"CONSTANT BASELINE  (raw signal, single intercept)",Direct least squares (OLS),5.303670744939762,0.026242915569469005,0.010432032879064934,0.9999999548086631,0.9999999463037287,1.5657656848482193
"CONSTANT BASELINE  (raw signal, single intercept)",Coordinate descent (20 passes),5.303670453125765,0.02624291351136776,0.01043203016398877,0.9999999548086631,0.9999999463037311,1.5657656495596024
"CONSTANT BASELINE  (raw signal, single intercept)",Ridge (alpha=0.01),5.303674920287456,0.026243093303619958,0.010432155921951392,0.9999999548086631,0.9999999463037154,1.565765880202375
"CONSTANT BASELINE  (raw signal, single intercept)",Ridge (alpha=0.1),5.303712498442595,0.02624469289322917,0.010433263303674778,0.999999954808663,0.9999999463035947,1.565767638974551
"CONSTANT BASELINE  (raw signal, single intercept)",Ridge (alpha=1),5.304088279871597,0.0262606887865644,0.010444337118237002,0.9999999548086557,0.9999999463023852,1.5657852729245765
"CONSTANT BASELINE  (raw signal, single intercept)",Ridge (alpha=10),5.307846086401733,0.026420647495385197,0.01055507501717301,0.9999999548079133,0.9999999462899726,1.5659662352701584
"CONSTANT BASELINE  (raw signal, single intercept)",Ridge (alpha=100),5.345423373574878,0.028020212063509575,0.011662429333536294,0.9999999547336814,0.999999946134061,1.5682374628472315
"CONSTANT BASELINE  (raw signal, single intercept)",Ridge (alpha=1000),5.721118452279619,0.04401360590270542,0.022733505768860594,0.9999999473134047,0.9999999413978463,1.6357295337713074
