variant_id,event_type,count,base_cost,avg_duration_seconds,estimated_total_cost
variant_1,Record Goods Receipt,50286,99,179.98,5068817.16
variant_1,Create Purchase Order Item,50286,98,179.88,5018482.04
variant_1,Record Invoice Receipt,50286,97,180.1,4968305.53
variant_2,Record Goods Receipt,30798,99,180.03,3104447.51
variant_2,Create Purchase Order Item,30798,98,180.07,3073661.11
variant_2,Record Invoice Receipt,30798,97,179.97,3042832.7
variant_1,Clear Invoice,50286,56,180.01,2906534.97
variant_1,Vendor creates invoice,50286,54,180.03,2805973.68
variant_2,Clear Invoice,30798,56,179.83,1780071.14
variant_2,Vendor creates invoice,30798,54,179.86,1718483.76
variant_3,Record Goods Receipt,12214,99,180.1,1231183.4
variant_3,Create Purchase Order Item,12214,98,179.87,1218940.78
