activity,true_cost,estimate,standard_error,absolute_error,training_events,co_occurring_group
Block Purchase Order Item,32.79508981628408,32.896460157587825,0.05072781786165174,0.1013703413037419,387.0,False
Cancel Goods Receipt,11.80354872363197,11.841122873034998,0.030239420664110797,0.037574149403027945,2012.0,False
Cancel Invoice Receipt,10.802148416883808,10.828105870003306,0.023024563331032807,0.025957453119497487,3728.0,False
Cancel Subsequent Invoice,33.80324526130588,33.75914867965467,0.1583930113235865,0.04409658165121044,308.0,False
Change Approval for Purchase Order,22.804023370507327,22.78463376705404,0.011871028275382191,0.019389603453287663,4762.0,False
Change Currency,151.84126739407833,152.0373404288606,0.2383965615019486,0.19607303478227323,35.0,False
Change Delivery Indicator,53.803732047007934,53.70503707903155,0.06846143116266974,0.09869496797638533,2319.0,False
Change Final Invoice Indicator,145.84957758256544,147.84663084632922,1.3639406780711736,1.9970532637637746,10.0,False
Change Price,2.800924933117935,2.7929303456720582,0.013628477199812817,0.007994587445876888,8788.0,False
Change Quantity,3.8010352336430744,3.82681953066692,0.01849308244261864,0.02578429702384577,15259.0,False
Change Rejection Indicator,201.64305240836944,197.71226151616904,3.903951463858211,3.930790892200406,2.0,False
Change Storage Location,37.8099534014024,37.67842877508504,0.08825365625814362,0.13152462631736483,333.0,False
Change payment term,5.868184930931262,7.7305199905079345,1.885696724538702,1.8623350595766723,5.0,False
Clear Invoice,57.80007161272391,57.80004124623608,0.0009499785518011884,3.0366487834498912e-05,118590.99999999999,False
Create Purchase Order Item,99.8001072381468,99.79869976412202,0.0018248485852263145,0.0014074740247735917,189439.0,False
Create Purchase Requisition Item,12.80047790112171,12.802455452666193,0.004937119889160289,0.0019775515444830916,9377.0,False
Delete Purchase Order Item,9.798938959552967,9.792973020867555,0.015638006072892653,0.005965938685411842,6460.0,False
Reactivate Purchase Order Item,58.81680170336996,58.77931382701287,0.0788855518805493,0.0374878763570905,444.0,False
Receive Order Confirmation,67.80027586467484,67.79011921446552,0.007662018726742979,0.01015665020932488,22482.0,False
Record Goods Receipt,100.79992483647652,100.80484887244319,0.001871696632341812,0.0049240359666669065,227789.65859995945,False
Record Invoice Receipt,98.8004066894595,98.79803638465626,0.0020622761698599595,0.0023703048032501783,158308.0,False
Record Service Entry Sheet,82.7993128463988,82.78581190663377,0.0017866029297741203,0.013500939765037856,131425.95822877967,False
Record Subsequent Invoice,41.793081719887006,42.22040370917186,0.3670689514821437,0.4273219892848559,110.0,False
Release Purchase Order,61.79662915783903,61.801755554204924,0.02268125608151089,0.005126396365895403,1134.0,False
Release Purchase Requisition,63.808788007340205,3.609557097661309e-12,1.8952793266150463e-12,63.808788007336595,0.0,False
Remove Payment Block,60.800821728803555,60.805503908242166,0.003066152841978484,0.00468217943861049,35520.0,False
SRM: Awaiting Approval,64.80797170579729,72.82970040162513,4.843986130214245,8.021728695827846,1202.0,True
SRM: Change was Transmitted,93.79814944050592,94.00385223165848,1.6029108322418937,0.20570279115256085,1070.0,False
SRM: Complete,78.80913523092428,70.87022565523228,4.07174087654961,7.9389095756920085,1202.0,True
SRM: Created,79.79206799830492,79.80085854286148,0.07106818310542674,0.00879054455656103,1202.0,False
SRM: Deleted,6.820324982636662,6.650189036891999,1.6782941027835823,0.17013594574466318,131.0,False
SRM: Document Completed,71.799210516629,71.3119984079243,4.906041670953707,0.48721210870469633,1202.0,True
SRM: Held,89.64291048972586,101.54885391573495,0.8710957784431828,11.905943426009088,6.0,True
SRM: In Transfer to Execution Syst.,88.79712645976818,88.72463441598376,0.1511249625518964,0.07249204378442187,1257.0,False
SRM: Incomplete,112.83682675505041,101.54885391573718,0.8710957784431829,11.287972839313227,6.0,True
SRM: Ordered,45.803373468256986,45.91008570649475,1.660381644110681,0.10671223823776188,1201.0,False
SRM: Transaction Completed,122.83278382088434,128.65130532134046,2.4544886699662474,5.818521500456114,5.0,False
SRM: Transfer Failed (E.Sys.),101.73526930220041,8.526512829121202e-14,1.1020781389493663e-15,101.73526930220032,0.0,False
Set Payment Block,27.789155204566516,27.797327597258537,0.09914722503793193,0.008172392692021191,73.0,False
Update Order Confirmation,23.805765154550944,24.079297146725576,0.27729573644723327,0.2735319921746324,174.0,False
Vendor creates debit memo,21.801180894983947,21.83656365875902,0.0375751326810546,0.03538276377507188,5131.0,False
Vendor creates invoice,55.79997026036436,55.8054467078763,0.0015671423659002824,0.0054764475119384315,164041.0,False
