scope,noise_seed,ols_test_rmse,ridge_test_rmse,weighted_regression_test_rmse,ols_mean_cost_error,ridge_mean_cost_error,weighted_regression_mean_cost_error,ridge_alpha,weighted_interval_noise_variance,weighted_event_variance,weighted_background_variance
top3,0,3.91337940680137,3.91337940680137,3.9145722330941353,0.002503625222915673,0.002503625222915673,0.001713018499025054,0.0,0.6304182120294417,0.028073812305200327,8.235264993761923
top3,1,3.948717493461444,3.9487034741371145,3.9470866912725473,0.003544387781208513,0.003536866181742937,0.002006583556064356,1.0,0.4138683059222363,0.0415449700050833,8.270990389538229
top3,2,3.953827153704526,3.953827153704526,3.9520448333515956,0.002626759773599474,0.002626759773599474,0.0018211611565007503,0.0,0.6848561168061744,0.029280143822094106,8.33142553251872
top3,3,3.905315157558429,3.905315157558429,3.9036448852002947,0.002495266662189977,0.002495266662189977,0.001492720568720074,0.0,0.4977868738944171,0.04459486802821446,8.359064864856428
top3,4,3.939816782991592,3.939816782991592,3.9402644590409834,0.0025059381820625505,0.0025059381820625505,0.0017268523360499445,0.0,0.5629594108543147,0.022817346126107807,8.416927659055167
top3,5,3.9763667543191783,3.9763586457399627,3.974257635234142,0.0025582765453563638,0.0025507553593627106,0.002091209403050698,1.0,0.7172687288924045,0.04186867787822898,8.06764176262179
top3,6,3.9541058683925536,3.954105852154992,3.953973688012514,0.0031421899960974997,0.003142131047471253,0.0013722927721374844,0.01,0.32262708320936395,0.03432914081281925,8.384269375804482
top3,7,3.944539631590427,3.9445429861068426,3.9433689276946464,0.0022956428611095704,0.0022881217675632115,0.0016834943171147644,1.0,0.716138121902418,0.020907315207680067,8.401804063628202
top3,8,3.941137734060269,3.941137734060269,3.9421046222846465,0.0026722319881670844,0.0026722319881670844,0.0024651624719666644,0.0,0.4441237491720766,0.04597513060343222,7.860036132203937
top3,9,3.967228081034018,3.967228081034018,3.9676307217399476,0.0023456098911921685,0.0023456098911921685,0.002299518951576829,0.0,0.3405106129491123,0.04749309482843801,8.125421501047729
top3,10,3.9201107682568503,3.9201107682568503,3.9197495808707927,0.00300247672141154,0.00300247672141154,0.0015199767495801097,0.0,0.08419321569812052,0.049306325059711484,8.350585895745212
top3,11,3.965135933951278,3.965135933951278,3.9633094749877884,0.002914905055622796,0.002914905055622796,0.0011746665613443952,0.0,0.5723919193403643,0.030176799625238226,8.245762014986441
top3,12,3.882279674027403,3.882279674027403,3.8805009623344735,0.00274837586018748,0.00274837586018748,0.0018449430309871672,0.0,0.7707266944348231,0.03223566158775745,8.078438323090518
top3,13,3.9424027081355173,3.942390405424511,3.944031100300351,0.0024452646377042695,0.0024447218585763155,0.0014828610761824733,1.0,1e-08,0.056698335486245956,8.328237873886797
top3,14,3.9817051621983364,3.9817051621983364,3.9825013423678506,0.002924802171926899,0.002924802171926899,0.0016556055902867683,0.0,0.6709227848223462,0.03418807419293723,8.054911974682213
top3,15,3.8785368044996487,3.8785368044996487,3.8798415015236625,0.003922484669861603,0.003922484669861603,0.0031344971779176944,0.0,0.6549858099088494,0.0419950575843483,8.052841453577928
top3,16,3.9134152397106536,3.9134152397106536,3.9144633332939835,0.0026388525946728692,0.0026388525946728692,0.00196041226661805,0.0,0.5432700042705403,0.03900798510255285,7.99324469267694
top3,17,3.9694075158051376,3.9694075158051376,3.970961040273884,0.0020409273901293547,0.0020409273901293547,0.0021718745465989287,0.0,0.8602699641702513,0.025821452683789367,8.145594749542733
top3,18,3.9367384453673964,3.9367384453673964,3.9391193317640854,0.002643787733376257,0.002643787733376257,0.0011229165597654855,0.0,0.37528346647923405,0.04855086949413316,8.158506996281897
top3,19,3.9106973069827013,3.9106973069827013,3.910561194168996,0.002358200881006667,0.002358200881006667,0.0007243351898267747,0.0,0.49412525444772365,0.03042247110450274,8.540963177777341
top3,20,3.929830720296835,3.9298282323446103,3.929744551104512,0.0025924696594941564,0.002586575238375133,0.0012837529028331574,1.0,0.6870330885512123,0.028223020084028667,8.265153455349692
top3,21,3.955043212765655,3.95503563745235,3.953952979523182,0.003097216101657807,0.0031017277995900373,0.0023685899181003834,1.0,0.4493839132340939,0.028561659181473915,8.365316387166674
top3,22,3.9405045487873633,3.9405045487873633,3.9400535603160467,0.003929813516751324,0.003929813516751324,0.003652285375574138,0.0,0.5778988984806641,0.0425971578557368,8.085296647584942
top3,23,3.958568796406177,3.9585548999300606,3.9581167837074416,0.0024060907793824527,0.0023932184047524173,0.001550599385205942,1.0,0.6009865987958303,0.028526274864017365,8.32551544213043
top3,24,3.9584808248116232,3.958466536079688,3.9588624978741724,0.00293428212702338,0.0029267607594292144,0.002611995220411245,1.0,0.3522827505111956,0.042178008496992214,8.343994015939575
top3,25,3.9783934837095534,3.9783934837095534,3.9783271488592473,0.0034684975711101627,0.0034684975711101627,0.002105895835489946,0.0,0.5064004747538159,0.04812393074593419,7.972919387064932
top3,26,3.980276469134197,3.980276469134197,3.9806876094325507,0.002814736055636047,0.002814736055636047,0.00240132164153124,0.0,0.6374334187487725,0.02985148086494471,8.20465117613168
top3,27,3.968332830499795,3.968332830499795,3.964339947466747,0.0028193977701974405,0.0028193977701974405,0.0014102355752655172,0.0,0.34222789860072295,0.039871199243949274,8.258734573259805
top3,28,3.915326080370876,3.915326080370876,3.9146894166219646,0.005236140868393591,0.005236140868393591,0.0035207650209741815,0.0,0.5278856951089456,0.026560316685234935,8.328720500499244
top3,29,3.928848170186662,3.928838972010414,3.924598196068066,0.0028246232795183348,0.0028171019295029965,0.001547318240581319,1.0,0.40571632693651727,0.05284046037868403,7.793884701914899
top5,0,4.932163237718796,4.891504237814311,4.245496089940915,0.036963446056285064,0.03618785954117903,0.02084024609340394,1.0,0.07899693184958041,0.05670332221866677,8.233675634410181
top5,1,4.7315517250334045,4.69563931649114,4.118461742152343,0.03401934723352085,0.03320547216212409,0.014948445341541319,1.0,1e-08,0.07430474648889782,8.123586588079126
top5,2,4.875946174213037,4.83721236720773,4.134548703846217,0.035389635693867154,0.034577081709605446,0.014860137524013288,1.0,1e-08,0.06330818917797322,8.314607370025065
top5,3,5.032918372305844,4.990572386045601,4.263611655414964,0.03976209851714937,0.03895220858806831,0.021616489921544715,1.0,1e-08,0.07096909809631077,8.334980165307396
top5,4,4.7800942585415465,4.742696471374877,4.129725083644611,0.034890165643415676,0.03411516192382231,0.015652692692400296,1.0,0.24813218011745794,0.04760756709343468,8.356094372779356
top5,5,4.845510799654902,4.807863457995908,4.348709238954453,0.03557558421344328,0.034765180564936875,0.02324774373148689,1.0,1e-08,0.07558803682835999,8.01228892741422
top5,6,5.036568169564771,4.995209400733786,4.189595936853341,0.03958982832250234,0.03881098945896255,0.01765622568741903,1.0,1e-08,0.06432861857641202,8.293766676436796
top5,7,4.762372128597398,4.725647807920256,4.2442929525241935,0.0335747114353787,0.03276489303751135,0.019740847679975766,1.0,0.31397175353106205,0.04610707721512055,8.3576370310175
top5,8,4.87259110727286,4.833480457837435,4.166776875506805,0.03668480490518178,0.03591155303139994,0.0180520071616872,1.0,1e-08,0.08002041697440562,7.744405175923148
top5,9,4.8536647155855155,4.815419805319916,4.054189081985074,0.03470435542323739,0.03392892119300939,0.009835438111265051,1.0,1e-08,0.06898976802805915,8.116545365350353
top5,10,4.804859657678465,4.7670293713919545,4.144632076236382,0.03458944678059212,0.03381265714841827,0.015687991855039534,1.0,1e-08,0.06646623687950301,8.26192591120711
top5,11,4.892286999115041,4.853287743861407,4.013976153190148,0.035666646150773626,0.03485403479113991,0.006715150752069933,1.0,1e-08,0.06487326058140311,8.207737316720095
top5,12,5.002459114195726,4.96033270827447,4.461160797801752,0.039765665953979124,0.0389865826415655,0.027729002148196052,1.0,0.2748416098033648,0.059208160682119426,8.04836284905448
top5,13,4.807304837137069,4.769236616595852,4.008623974875096,0.034852856840760636,0.03408028689311138,0.008609686204707399,1.0,1e-08,0.08847479900056048,8.075278578883715
top5,14,4.827433371717027,4.790207761209378,4.093613567067497,0.03457909043794771,0.03376903824440599,0.011380961099894091,1.0,0.09123333924621081,0.0616002259027211,8.122551146296471
top5,15,4.84397483867849,4.804437018855436,4.073328749319316,0.036559687230183054,0.03578206579787059,0.015579114332450723,1.0,0.307407605561504,0.062066896461778626,7.983911951144823
top5,16,5.005883909389993,4.96502914324657,4.166424285744024,0.039935062418222804,0.03915648420281924,0.01691885184176556,1.0,0.12678477518309153,0.06104397892711736,7.931474450984966
