section,fact,value,note
Dataset,raw_columns,22,attributes in the CSV export of the log
Dataset,dropped_events,320,timestamps outside 2018 and 2019
Dataset,dropped_events_year_1948,10,
Dataset,dropped_events_year_1993,9,
Dataset,dropped_events_year_2001,22,
Dataset,dropped_events_year_2008,45,
Dataset,dropped_events_year_2015,3,
Dataset,dropped_events_year_2016,6,
Dataset,dropped_events_year_2017,223,
Dataset,dropped_events_year_2020,2,
Dataset,events,1595603,
Dataset,cases,251734,
Dataset,activities,42,
Dataset,"flow_cases:3-way match, invoice before GR",221010,cases per purchasing flow
Dataset,"flow_percent:3-way match, invoice before GR",87.79505350886252,
Dataset,"flow_cases:3-way match, invoice after GR",15182,cases per purchasing flow
Dataset,"flow_percent:3-way match, invoice after GR",6.030969197645133,
Dataset,flow_cases:Consignment,14498,cases per purchasing flow
Dataset,flow_percent:Consignment,5.7592538155354465,
Dataset,flow_cases:2-way match,1044,cases per purchasing flow
Dataset,flow_percent:2-way match,0.414723477956891,
Dataset,distinct_variants,13890,
Dataset,most_frequent_variant_cases,50282,
Dataset,top_five_variants_percent,45.10475343020808,
Synthetic Energy Signal,example_event_0:Create Purchase Order Item:base_cost,98,
Synthetic Energy Signal,example_event_0:Create Purchase Order Item:duration_seconds,171.30900136976663,
Synthetic Energy Signal,example_event_0:Create Purchase Order Item:energy,99.71309001369767,
Synthetic Energy Signal,example_event_1:Vendor creates invoice:base_cost,54,
Synthetic Energy Signal,example_event_1:Vendor creates invoice:duration_seconds,202.07187554476158,
Synthetic Energy Signal,example_event_1:Vendor creates invoice:energy,56.02071875544762,
Synthetic Energy Signal,example_event_2:Record Goods Receipt:base_cost,99,
Synthetic Energy Signal,example_event_2:Record Goods Receipt:duration_seconds,163.37160699853933,
Synthetic Energy Signal,example_event_2:Record Goods Receipt:energy,100.6337160699854,
Synthetic Energy Signal,example_event_3:Record Invoice Receipt:base_cost,97,
Synthetic Energy Signal,example_event_3:Record Invoice Receipt:duration_seconds,179.42131474229734,
Synthetic Energy Signal,example_event_3:Record Invoice Receipt:energy,98.79421314742298,
Synthetic Energy Signal,example_event_4:Clear Invoice:base_cost,56,
Synthetic Energy Signal,example_event_4:Clear Invoice:duration_seconds,171.41552330887768,
Synthetic Energy Signal,example_event_4:Clear Invoice:energy,57.714155233088775,
The Event State Hidden Markov Model,example_gap_minutes,19716.0,minutes from the first to the second event of the example case
The Event State Hidden Markov Model,example_log_gap,9.889236486766269,
Synthetic Energy Signal,base_cost_min,1.0,
Synthetic Energy Signal,base_cost_max,200.0,
Synthetic Energy Signal,noise_std_at_02,0.28867513459481314,standard deviation of the random background
Synthetic Energy Signal,noise_std_at_14,6.062177826491071,
Interval Aggregation,crossing_events_percent,20.48567218788132,"events that cross an interval boundary, whole log"
Interval Aggregation,crossing_energy_percent,9.504500973797398,"event energy carried into the following interval, whole log"
Process Variants and Scopes,top1:cases,50282,
Process Variants and Scopes,top1:cases_percent,19.974258542747503,
Process Variants and Scopes,top1:events,251410,
Process Variants and Scopes,top1:cut_interval,9731,
Process Variants and Scopes,top1:intervals,18256,
Process Variants and Scopes,top2:cases,81078,
Process Variants and Scopes,top2:cases_percent,32.20780665305441,
Process Variants and Scopes,top2:events,405390,
Process Variants and Scopes,top2:cut_interval,9869,
Process Variants and Scopes,top2:intervals,18262,
Process Variants and Scopes,top3:cases,93242,
Process Variants and Scopes,top3:cases_percent,37.03989131384716,
Process Variants and Scopes,top3:events,429718,
Process Variants and Scopes,top3:cut_interval,9902,
Process Variants and Scopes,top3:intervals,18303,
Process Variants and Scopes,top5:cases,113544,
Process Variants and Scopes,top5:cases_percent,45.10475343020808,
Process Variants and Scopes,top5:events,551530,
Process Variants and Scopes,top5:cut_interval,11080,
Process Variants and Scopes,top5:intervals,18310,
Process Variants and Scopes,learnable:cases,251734,
Process Variants and Scopes,learnable:cases_percent,100.0,
Process Variants and Scopes,learnable:events,1590195,
Process Variants and Scopes,learnable:cut_interval,12670,
Process Variants and Scopes,learnable:intervals,33785,
Identifiability and the Reported Scope,srm_group_a:case_timestamp_pairs,1628,
Identifiability and the Reported Scope,srm_group_a:pairs_with_all_members,1628,
Identifiability and the Reported Scope,srm_group_b:case_timestamp_pairs,6,
Identifiability and the Reported Scope,srm_group_b:pairs_with_all_members,6,
Identifiability and the Reported Scope,whole_system_cut_time,2018-09-22 02:30:00,
Identifiability and the Reported Scope,Release Purchase Requisition:events,467,
Identifiability and the Reported Scope,Release Purchase Requisition:first,2018-11-29 08:56:00,
Identifiability and the Reported Scope,Release Purchase Requisition:last,2018-12-21 10:53:00,
Identifiability and the Reported Scope,SRM: Transfer Failed (E.Sys.):events,45,
Identifiability and the Reported Scope,SRM: Transfer Failed (E.Sys.):first,2019-01-17 11:58:00,
Identifiability and the Reported Scope,SRM: Transfer Failed (E.Sys.):last,2019-01-17 12:09:00,
Estimating Activity Costs,example_interval_count:Create Purchase Order Item,4.180943823594754,
Estimating Activity Costs,example_interval_count:Record Goods Receipt,2.601702077223788,
Estimating Activity Costs,example_interval_count:Record Invoice Receipt,2.0,
Estimating Activity Costs,example_interval_meter,880.665955653561,expected background removed
Estimating Activity Costs,example_interval_true_cost_total,877.1107294044518,
Estimating Activity Costs,example_interval_in_training,True,
Estimating Activity Costs,top3_training_intervals,9902,
Estimating Activity Costs,variance_ratio_14h_80_events_to_02h_2_events,63.8308686060027,
The Baum-Welch Update and Why It Is Not Used,example_interval_residual_share,0.40554445841729025,
The Baum-Welch Update and Why It Is Not Used,example_constructed_goods_receipt_value,101.20443141551296,
The Baum-Welch Update and Why It Is Not Used,example_goods_receipt_true_energy_0,100.99434245854147,
The Baum-Welch Update and Why It Is Not Used,example_goods_receipt_true_energy_1,100.9912721522997,
The Baum-Welch Update and Why It Is Not Used,example_goods_receipt_true_energy_2,100.85484621332954,
Composition of Variant Models,top3_goods_receipt_cost_ols,100.80005280357665,
Composition of Variant Models,top3_goods_receipt_cost_weighted,100.79888695709566,
Train and Test Split,training_events,1113315,
Train and Test Split,test_events,476880,
Train and Test Split,test_events_after_positional_cut,3,a cut after seventy percent of the intervals instead of the events
Train and Test Split,last_event_time,2019-12-05 23:59:00,
Train and Test Split,cases_completed_before_cut,131896,
Train and Test Split,cases_spanning_cut,57802,
Train and Test Split,cases_beginning_after_cut,62036,
The Markov Reward Layer,most_frequent_training_path_cases,37591,
The Markov Reward Layer,most_frequent_training_path_expected_energy,413.0048887419019,
The Markov Reward Layer,recording_end,2019-01-18 14:34:00,
The Markov Reward Layer,events_after_recording_end,7,
The Markov Reward Layer,observation_margin_days,120.98958333333333,
The Markov Reward Layer,cut_to_recording_end_days,118.50277777777778,
The Correlated Chain Stress Test,top3_median_case_days,63.88055555555555,
The Correlated Chain Stress Test,top3_cases_shortened_percent:10080_minutes,97.74779605757062,
The Correlated Chain Stress Test,top3_cases_shortened_percent:120_minutes,99.47984813710559,
The Correlated Chain Stress Test,top3_cases_shortened_percent:30_minutes,99.52274725981853,
The Correlated Chain Stress Test,top3_cases_shortened_percent:0_minutes,99.93565131593058,
The Correlated Chain Stress Test,example_case,4508059628_00010,"most frequent path, duration closest to the median"
The Correlated Chain Stress Test,example:original:Create Purchase Order Item,"day 0, 11:59",
The Correlated Chain Stress Test,example:original:Vendor creates invoice,"day 13, 23:59",
The Correlated Chain Stress Test,example:original:Record Goods Receipt,"day 15, 07:45",
The Correlated Chain Stress Test,example:original:Record Invoice Receipt,"day 43, 11:55",
The Correlated Chain Stress Test,example:original:Clear Invoice,"day 64, 09:07",
The Correlated Chain Stress Test,example:10080_minutes:Create Purchase Order Item,"day 0, 11:59",
The Correlated Chain Stress Test,example:10080_minutes:Vendor creates invoice,"day 1, 23:29",
The Correlated Chain Stress Test,example:10080_minutes:Record Goods Receipt,"day 2, 02:58",
The Correlated Chain Stress Test,example:10080_minutes:Record Invoice Receipt,"day 5, 05:03",
The Correlated Chain Stress Test,example:10080_minutes:Clear Invoice,"day 7, 11:59",
